# Attempting: (1, 0.002997529)
# Attempting: (2, 0.000579749)
# Attempting: (3, 0.000498997)
# Attempting: (4, 0.000392888)
# Attempting: (5, 0.000476445)
# Attempting: (6, 0.000445216)
# Attempting: (7, 0.000501191)
# Attempting: (8, 0.000567105)
# Attempting: (9, 0.000495782)
# Attempting: (10, 0.000449363)
# Attempting: (11, 0.000530516)
# Attempting: (12, 0.000627939)
# Attempting: (13, 0.000551266)
# Attempting: (14, 0.00060168)
# Attempting: (15, 0.000486573)
# Attempting: (16, 0.000451778)
# Attempting: (17, 0.000562877)
# Attempting: (18, 0.000668725)
# Attempting: (19, 0.000591411)
# Attempting: (20, 0.000618431)
# Attempting: (21, 0.000586501)
# Attempting: (22, 0.000562066)
# Attempting: (23, 0.000559862)
# Attempting: (24, 0.000811404)
# Attempting: (25, 0.000636977)
# Attempting: (26, 0.00055918)
# Attempting: (27, 0.000557247)
# Attempting: (28, 0.000604675)
# Attempting: (29, 0.000646043)
# Attempting: (30, 0.000822244)
# Attempting: (31, 0.000776939)
# Attempting: (32, 0.00084156)
# Attempting: (33, 0.000863381)
# Attempting: (34, 0.00099081)
# Attempting: (35, 0.00097458)
# Attempting: (36, 0.001020878)
# Attempting: (37, 0.001104134)
# Attempting: (38, 0.002131613)
# Attempting: (39, 0.001438541)
# Attempting: (40, 0.001413194)
# Attempting: (41, 0.001663504)
# Attempting: (42, 0.001978525)
# Attempting: (43, 0.0021455)
# Attempting: (44, 0.002429563)
# Attempting: (45, 0.002822551)
# Attempting: (46, 0.003199419)
# Attempting: (47, 0.003678508)
# Attempting: (48, 0.00427606)
# Attempting: (49, 0.005276198)
# Attempting: (50, 0.006083804)
# Attempting: (51, 0.00710875)
# Attempting: (52, 0.00853562)
# Attempting: (53, 0.009946039)
# Attempting: (54, 0.012017117)
# Attempting: (55, 0.01454771)
# Attempting: (56, 0.017019904)
# Attempting: (57, 0.020239238)
# Attempting: (58, 0.024534105)
# Attempting: (59, 0.028665823)
# Attempting: (60, 0.035608171)
# Attempting: (61, 0.041529423)
# Attempting: (62, 0.050824295)
# Attempting: (63, 0.060100618)
# Attempting: (64, 0.073361643)
# Attempting: (65, 0.086147904)
# Attempting: (66, 0.107302971)
# Attempting: (67, 0.126694181)
# Attempting: (68, 0.157219544)
# Attempting: (69, 0.185308476)
# Attempting: (70, 0.227091955)
# Attempting: (71, 0.275859499)
# Attempting: (72, 0.336669981)
# Attempting: (73, 0.398928411)
# Attempting: (74, 0.48803257)
# Attempting: (75, 0.578959398)
# Attempting: (76, 0.705074142)
# Attempting: (77, 0.842320059)
# Attempting: (78, 1.029487412)
# Attempting: (79, 1.215442119)
# Attempting: (80, 1.460172209)
# Attempting: (81, 1.763217767)
# Found closest N to be 78, at 1.029487412 s
# Linear Increase
# size, s
78,1.021253626
79,1.210429206
80,1.457181316
81,1.739269833
82,2.0860209
83,2.534431279
84,3.019280219
85,3.622998425
86,4.347042936
87,5.172138946
88,6.272563673
89,7.415311708
90,8.989172261
91,10.991717572
92,13.032145043
93,15.633853948
94,19.302126279
95,23.000506116
96,26.976295564
97,33.378818158
98,40.066392058
99,48.041499631
100,57.824270759
101,68.592544877
102,82.599208151
103,99.736220955
104,120.442851684
105,145.818500301
106,174.803435525
107,180.014312634
# Doubling Increase
# size, s
78,1.001295851
156,180.097944288
